Kinetic,Electron.,Nuclear,Total,CSDA,Projected,Detour
Energy,Stp. Pow.,Stp. Pow.,Stp. Pow.,Range,Range,Factor
MeV,MeV cm2/g,MeV cm2/g,MeV cm2/g,g/cm2,g/cm2,
1.00E-03,3.13E+01,1.39E+01,4.51E+01,3.59E-05,4.41E-06,0.1226
1.50E-03,3.81E+01,1.47E+01,5.29E+01,4.61E-05,6.07E-06,0.1318
2.00E-03,4.39E+01,1.52E+01,5.91E+01,5.50E-05,7.70E-06,0.1401
2.50E-03,4.90E+01,1.54E+01,6.44E+01,6.31E-05,9.31E-06,0.1476
3.00E-03,5.36E+01,1.55E+01,6.91E+01,7.06E-05,1.09E-05,0.1547
4.00E-03,6.17E+01,1.55E+01,7.71E+01,8.43E-05,1.41E-05,0.1675
5.00E-03,6.88E+01,1.53E+01,8.41E+01,9.67E-05,1.73E-05,0.1791
6.00E-03,7.52E+01,1.51E+01,9.03E+01,1.08E-04,2.05E-05,0.1897
7.00E-03,8.11E+01,1.48E+01,9.59E+01,1.19E-04,2.37E-05,0.1996
8.00E-03,8.66E+01,1.46E+01,1.01E+02,1.29E-04,2.69E-05,0.2088
9.00E-03,9.17E+01,1.43E+01,1.06E+02,1.39E-04,3.02E-05,0.2175
1.00E-02,9.66E+01,1.40E+01,1.11E+02,1.48E-04,3.34E-05,0.2257
1.25E-02,1.08E+02,1.34E+01,1.21E+02,1.70E-04,4.15E-05,0.2446
1.50E-02,1.18E+02,1.28E+01,1.31E+02,1.89E-04,4.95E-05,0.2615
1.75E-02,1.27E+02,1.22E+01,1.39E+02,2.08E-04,5.76E-05,0.2769
2.00E-02,1.36E+02,1.18E+01,1.47E+02,2.25E-04,6.56E-05,0.291
2.25E-02,1.44E+02,1.13E+01,1.55E+02,2.42E-04,7.36E-05,0.3041
2.50E-02,1.51E+02,1.09E+01,1.62E+02,2.58E-04,8.15E-05,0.3163
2.75E-02,1.58E+02,1.05E+01,1.69E+02,2.73E-04,8.94E-05,0.3277
3.00E-02,1.65E+02,1.02E+01,1.76E+02,2.87E-04,9.72E-05,0.3384
3.50E-02,1.78E+02,9.58E+00,1.88E+02,3.15E-04,1.13E-04,0.358
4.00E-02,1.90E+02,9.05E+00,1.99E+02,3.41E-04,1.28E-04,0.3757
4.50E-02,2.01E+02,8.58E+00,2.10E+02,3.65E-04,1.43E-04,0.3917
5.00E-02,2.12E+02,8.17E+00,2.20E+02,3.88E-04,1.58E-04,0.4064
5.50E-02,2.22E+02,7.81E+00,2.30E+02,4.11E-04,1.72E-04,0.4199
6.00E-02,2.32E+02,7.48E+00,2.39E+02,4.32E-04,1.87E-04,0.4325
6.50E-02,2.41E+02,7.18E+00,2.48E+02,4.52E-04,2.01E-04,0.4441
7.00E-02,2.50E+02,6.91E+00,2.56E+02,4.72E-04,2.15E-04,0.455
7.50E-02,2.58E+02,6.66E+00,2.65E+02,4.91E-04,2.29E-04,0.4653
8.00E-02,2.66E+02,6.43E+00,2.72E+02,5.10E-04,2.42E-04,0.4749
8.50E-02,2.74E+02,6.22E+00,2.80E+02,5.28E-04,2.56E-04,0.4839
9.00E-02,2.81E+02,6.02E+00,2.88E+02,5.46E-04,2.69E-04,0.4925
9.50E-02,2.89E+02,5.84E+00,2.95E+02,5.63E-04,2.82E-04,0.5007
1.00E-01,2.96E+02,5.67E+00,3.02E+02,5.80E-04,2.95E-04,0.5084
1.25E-01,3.29E+02,4.96E+00,3.34E+02,6.58E-04,3.57E-04,0.542
1.50E-01,3.58E+02,4.43E+00,3.62E+02,7.30E-04,4.16E-04,0.5694
1.75E-01,3.84E+02,4.02E+00,3.88E+02,7.97E-04,4.72E-04,0.5923
2.00E-01,4.07E+02,3.68E+00,4.11E+02,8.59E-04,5.26E-04,0.6118
2.25E-01,4.29E+02,3.40E+00,4.32E+02,9.19E-04,5.78E-04,0.6288
2.50E-01,4.48E+02,3.17E+00,4.52E+02,9.75E-04,6.28E-04,0.6437
2.75E-01,4.66E+02,2.96E+00,4.69E+02,1.03E-03,6.76E-04,0.657
3.00E-01,4.83E+02,2.79E+00,4.86E+02,1.08E-03,7.24E-04,0.669
3.50E-01,5.12E+02,2.50E+00,5.14E+02,1.18E-03,8.15E-04,0.6898
4.00E-01,5.36E+02,2.27E+00,5.39E+02,1.28E-03,9.03E-04,0.7073
4.50E-01,5.57E+02,2.08E+00,5.59E+02,1.37E-03,9.88E-04,0.7225
5.00E-01,5.74E+02,1.93E+00,5.75E+02,1.46E-03,1.07E-03,0.7357
5.50E-01,5.87E+02,1.80E+00,5.89E+02,1.54E-03,1.15E-03,0.7474
6.00E-01,5.98E+02,1.68E+00,6.00E+02,1.63E-03,1.23E-03,0.7579
6.50E-01,6.07E+02,1.58E+00,6.09E+02,1.71E-03,1.31E-03,0.7675
7.00E-01,6.14E+02,1.50E+00,6.15E+02,1.79E-03,1.39E-03,0.7762
7.50E-01,6.19E+02,1.42E+00,6.20E+02,1.87E-03,1.47E-03,0.7842
8.00E-01,6.22E+02,1.35E+00,6.23E+02,1.95E-03,1.55E-03,0.7916
8.50E-01,6.23E+02,1.29E+00,6.25E+02,2.03E-03,1.62E-03,0.7984
9.00E-01,6.24E+02,1.23E+00,6.25E+02,2.11E-03,1.70E-03,0.8048
9.50E-01,6.23E+02,1.18E+00,6.25E+02,2.19E-03,1.78E-03,0.8108
1.00E+00,6.22E+02,1.14E+00,6.23E+02,2.27E-03,1.86E-03,0.8165
1.25E+00,6.04E+02,9.52E-01,6.05E+02,2.68E-03,2.25E-03,0.8404
1.50E+00,5.79E+02,8.23E-01,5.80E+02,3.10E-03,2.66E-03,0.8592
1.75E+00,5.51E+02,7.27E-01,5.52E+02,3.54E-03,3.10E-03,0.8745
2.00E+00,5.23E+02,6.52E-01,5.24E+02,4.01E-03,3.56E-03,0.8871
2.25E+00,4.98E+02,5.92E-01,4.98E+02,4.50E-03,4.04E-03,0.8978
2.50E+00,4.74E+02,5.43E-01,4.75E+02,5.01E-03,4.54E-03,0.9068
2.75E+00,4.54E+02,5.02E-01,4.54E+02,5.55E-03,5.08E-03,0.9146
3.00E+00,4.35E+02,4.68E-01,4.35E+02,6.11E-03,5.63E-03,0.9213
3.50E+00,4.03E+02,4.11E-01,4.03E+02,7.31E-03,6.81E-03,0.9324
4.00E+00,3.76E+02,3.68E-01,3.76E+02,8.59E-03,8.08E-03,0.9409
4.50E+00,3.53E+02,3.34E-01,3.54E+02,9.96E-03,9.44E-03,0.9477
5.00E+00,3.34E+02,3.05E-01,3.34E+02,1.14E-02,1.09E-02,0.9532
5.50E+00,3.17E+02,2.82E-01,3.17E+02,1.30E-02,1.24E-02,0.9577
6.00E+00,3.02E+02,2.62E-01,3.02E+02,1.46E-02,1.40E-02,0.9615
6.50E+00,2.89E+02,2.45E-01,2.89E+02,1.63E-02,1.57E-02,0.9646
7.00E+00,2.77E+02,2.30E-01,2.77E+02,1.80E-02,1.74E-02,0.9673
7.50E+00,2.66E+02,2.17E-01,2.66E+02,1.99E-02,1.93E-02,0.9696
8.00E+00,2.57E+02,2.05E-01,2.57E+02,2.18E-02,2.12E-02,0.9716
8.50E+00,2.48E+02,1.95E-01,2.48E+02,2.38E-02,2.31E-02,0.9734
9.00E+00,2.40E+02,1.85E-01,2.40E+02,2.58E-02,2.52E-02,0.975
9.50E+00,2.32E+02,1.77E-01,2.32E+02,2.79E-02,2.73E-02,0.9763
1.00E+01,2.25E+02,1.69E-01,2.25E+02,3.01E-02,2.95E-02,0.9776
1.25E+01,1.97E+02,1.40E-01,1.97E+02,4.20E-02,4.13E-02,0.9821
1.50E+01,1.76E+02,1.19E-01,1.76E+02,5.55E-02,5.46E-02,0.985
1.75E+01,1.60E+02,1.04E-01,1.60E+02,7.04E-02,6.95E-02,0.9869
2.00E+01,1.47E+02,9.29E-02,1.47E+02,8.67E-02,8.57E-02,0.9884
2.50E+01,1.27E+02,7.64E-02,1.27E+02,1.24E-01,1.22E-01,0.9903
2.75E+01,1.19E+02,7.03E-02,1.19E+02,1.44E-01,1.43E-01,0.9909
3.00E+01,1.12E+02,6.51E-02,1.12E+02,1.66E-01,1.64E-01,0.9915
3.50E+01,1.01E+02,5.69E-02,1.01E+02,2.13E-01,2.11E-01,0.9923
4.00E+01,9.21E+01,5.05E-02,9.21E+01,2.64E-01,2.63E-01,0.9929
4.50E+01,8.48E+01,4.55E-02,8.48E+01,3.21E-01,3.19E-01,0.9934
5.00E+01,7.87E+01,4.15E-02,7.88E+01,3.82E-01,3.80E-01,0.9938
5.50E+01,7.36E+01,3.81E-02,7.36E+01,4.48E-01,4.45E-01,0.9941
6.00E+01,6.91E+01,3.53E-02,6.91E+01,5.18E-01,5.15E-01,0.9943
6.50E+01,6.52E+01,3.28E-02,6.53E+01,5.93E-01,5.89E-01,0.9945
7.00E+01,6.18E+01,3.07E-02,6.18E+01,6.71E-01,6.68E-01,0.9947
7.50E+01,5.88E+01,2.89E-02,5.88E+01,7.54E-01,7.50E-01,0.9948
8.00E+01,5.61E+01,2.73E-02,5.61E+01,8.41E-01,8.37E-01,0.995
8.50E+01,5.36E+01,2.58E-02,5.37E+01,9.33E-01,9.28E-01,0.9951
9.00E+01,5.14E+01,2.45E-02,5.15E+01,1.03E+00,1.02E+00,0.9952
9.50E+01,4.94E+01,2.34E-02,4.94E+01,1.13E+00,1.12E+00,0.9953
1.00E+02,4.76E+01,2.23E-02,4.76E+01,1.23E+00,1.22E+00,0.9954
1.25E+02,4.03E+01,1.83E-02,4.04E+01,1.80E+00,1.80E+00,0.9957
1.50E+02,3.52E+01,1.55E-02,3.52E+01,2.47E+00,2.46E+00,0.9959
1.75E+02,3.14E+01,1.35E-02,3.14E+01,3.22E+00,3.21E+00,0.9961
2.00E+02,2.85E+01,1.19E-02,2.85E+01,4.06E+00,4.04E+00,0.9962
2.25E+02,2.61E+01,1.07E-02,2.61E+01,4.97E+00,4.96E+00,0.9963
2.50E+02,2.42E+01,9.71E-03,2.42E+01,5.97E+00,5.95E+00,0.9964
2.75E+02,2.26E+01,8.90E-03,2.26E+01,7.04E+00,7.02E+00,0.9965
3.00E+02,2.12E+01,8.21E-03,2.12E+01,8.18E+00,8.16E+00,0.9965
3.50E+02,1.90E+01,7.12E-03,1.90E+01,1.07E+01,1.07E+01,0.9967
4.00E+02,1.73E+01,6.29E-03,1.73E+01,1.35E+01,1.34E+01,0.9968
4.50E+02,1.59E+01,5.64E-03,1.59E+01,1.65E+01,1.64E+01,0.9968
5.00E+02,1.48E+01,5.11E-03,1.48E+01,1.97E+01,1.97E+01,0.9969
5.50E+02,1.39E+01,4.67E-03,1.39E+01,2.32E+01,2.32E+01,0.997
6.00E+02,1.31E+01,4.31E-03,1.31E+01,2.69E+01,2.69E+01,0.997
6.50E+02,1.24E+01,3.99E-03,1.24E+01,3.09E+01,3.08E+01,0.9971
7.00E+02,1.19E+01,3.72E-03,1.19E+01,3.50E+01,3.49E+01,0.9971
7.50E+02,1.14E+01,3.49E-03,1.14E+01,3.93E+01,3.92E+01,0.9972
8.00E+02,1.09E+01,3.28E-03,1.09E+01,4.38E+01,4.37E+01,0.9972
8.50E+02,1.05E+01,3.10E-03,1.05E+01,4.85E+01,4.83E+01,0.9972
9.00E+02,1.02E+01,2.93E-03,1.02E+01,5.33E+01,5.32E+01,0.9973
9.50E+02,9.83E+00,2.79E-03,9.84E+00,5.83E+01,5.81E+01,0.9973
1.00E+03,9.55E+00,2.65E-03,9.55E+00,6.35E+01,6.33E+01,0.9973